left_entity_type,left_entity_id,right_entity_type,right_entity_id,role,evidence_type,evidence_source,source_line,confidence,allocation_weight,included_in_direct_totals,included_in_rollup_totals,manual_override_state,reviewed_by,reviewed_at,review_method,evidence_note,source_digest,warning_state
commit,36c5b18642e6568ca15e897dcae9132a6907e9db,commit,36c5b18642e6568ca15e897dcae9132a6907e9db,identity,canonical-git-identity,36c5b18642e6568ca15e897dcae9132a6907e9db,,1.0,1.0,False,True,automatic,,,,,,
commit,4a07659704ab091a117b882a027635c12af8294c,commit,4a07659704ab091a117b882a027635c12af8294c,identity,canonical-git-identity,4a07659704ab091a117b882a027635c12af8294c,,1.0,1.0,False,True,automatic,,,,,,
commit,0539816b5ba23a6e25ff44d6be08444b0f8dd6c7,commit,0539816b5ba23a6e25ff44d6be08444b0f8dd6c7,identity,canonical-git-identity,0539816b5ba23a6e25ff44d6be08444b0f8dd6c7,,1.0,1.0,False,True,automatic,,,,,,
commit,352ff8c562657dc7ed4c0171d4448bdda0bec559,commit,352ff8c562657dc7ed4c0171d4448bdda0bec559,identity,canonical-git-identity,352ff8c562657dc7ed4c0171d4448bdda0bec559,,1.0,1.0,False,True,automatic,,,,,,
commit,f23c8a089f6d5549a597e0635ff808b203a25766,commit,f23c8a089f6d5549a597e0635ff808b203a25766,identity,canonical-git-identity,f23c8a089f6d5549a597e0635ff808b203a25766,,1.0,1.0,False,True,automatic,,,,,,
commit,759876b5751c03c882cad89d885311f3073fe8cc,commit,759876b5751c03c882cad89d885311f3073fe8cc,identity,canonical-git-identity,759876b5751c03c882cad89d885311f3073fe8cc,,1.0,1.0,False,True,automatic,,,,,,
commit,192eaacabaecbe09ee3ee59d935f0d3ab2d86a02,commit,192eaacabaecbe09ee3ee59d935f0d3ab2d86a02,identity,canonical-git-identity,192eaacabaecbe09ee3ee59d935f0d3ab2d86a02,,1.0,1.0,False,True,automatic,,,,,,
commit,777706cf1432bcd9bbd0ff1d145469d038b76fd3,commit,777706cf1432bcd9bbd0ff1d145469d038b76fd3,identity,canonical-git-identity,777706cf1432bcd9bbd0ff1d145469d038b76fd3,,1.0,1.0,False,True,automatic,,,,,,
commit,bee209c217c6b5fa2c4eaddbddcab99101ee589a,commit,bee209c217c6b5fa2c4eaddbddcab99101ee589a,identity,canonical-git-identity,bee209c217c6b5fa2c4eaddbddcab99101ee589a,,1.0,1.0,False,True,automatic,,,,,,
commit,5866685bcbe463804d3efa4fb258029bf961207a,commit,5866685bcbe463804d3efa4fb258029bf961207a,identity,canonical-git-identity,5866685bcbe463804d3efa4fb258029bf961207a,,1.0,1.0,False,True,automatic,,,,,,
commit,859a8f570b718d332f3f3814fc621280ae0f077e,commit,859a8f570b718d332f3f3814fc621280ae0f077e,identity,canonical-git-identity,859a8f570b718d332f3f3814fc621280ae0f077e,,1.0,1.0,False,True,automatic,,,,,,
commit,0c2d38575541a8dada750da08698d78e75a4d3f0,commit,0c2d38575541a8dada750da08698d78e75a4d3f0,identity,canonical-git-identity,0c2d38575541a8dada750da08698d78e75a4d3f0,,1.0,1.0,False,True,automatic,,,,,,
commit,2298c43c00492de67ad920a395d3ec7a8c8fb722,commit,2298c43c00492de67ad920a395d3ec7a8c8fb722,identity,canonical-git-identity,2298c43c00492de67ad920a395d3ec7a8c8fb722,,1.0,1.0,False,True,automatic,,,,,,
commit,d65459355d32c58116293e4f6cce8a759b6d67f5,commit,d65459355d32c58116293e4f6cce8a759b6d67f5,identity,canonical-git-identity,d65459355d32c58116293e4f6cce8a759b6d67f5,,1.0,1.0,False,True,automatic,,,,,,
